,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
2055,induc oxid stress hypertens rat ,-15.021714,5.7598047,-0.16748059,Effect of lead acetate on cytosolic thioredoxin reductase activity and oxidative stress parameters in rat kidneys,"['effect', 'lead', 'acet', 'cytosol', 'thioredoxin', 'reductas', 'activ', 'oxid', 'stress', 'paramet', 'rat', 'kidney']",462094,2007,Effect of lead acetate on cytosolic thioredoxin reductase activity and oxidative stress parameters in rat kidneys,effect lead acet cytosol thioredoxin reductas activ oxid stress paramet rat kidney,9
2068,induc oxid stress hypertens rat ,-14.706853,7.992704,2.8720531,Protection by turmeric and myrrh against liver oxidative damage and genotoxicity induced by lead acetate in mice,"['protect', 'turmer', 'myrrh', 'liver', 'oxid', 'damag', 'genotox', 'induc', 'lead', 'acet', 'mice']",468370,2006,Protection by turmeric and myrrh against liver oxidative damage and genotoxicity induced by lead acetate in mice,protect turmer myrrh liver oxid damag genotox induc lead acet mice,9
2070,induc oxid stress hypertens rat ,-15.641485,7.182466,1.1286198,Protective effect of Aquilegia vulgaris (L.) against lead acetate-induced oxidative stress in rats,"['protect', 'effect', 'aquilegia', 'vulgari', 'L.', 'lead', 'acetate-induc', 'oxid', 'stress', 'rat']",468607,2009,Protective effect of Aquilegia vulgaris (L.) against lead acetate-induced oxidative stress in rats,protect effect aquilegia vulgari L. lead acetate-induc oxid stress rat,9
2076,induc oxid stress hypertens rat ,-12.8513775,7.5377173,4.4368906,Selection of nutrients for prevention or amelioration of lead-induced learning and memory impairment in rats,"['select', 'nutrient', 'prevent', 'amelior', 'lead-induc', 'learn', 'memori', 'impair', 'rat']",469644,2009,Selection of nutrients for prevention or amelioration of lead-induced learning and memory impairment in rats,select nutrient prevent amelior lead-induc learn memori impair rat,9
2115,induc oxid stress hypertens rat ,-11.495437,6.2592363,6.101508,Quercetin relieves chronic lead exposure-induced impairment of synaptic plasticity in rat dentate gyrus in vivo,"['quercetin', 'reliev', 'chronic', 'lead', 'exposure-induc', 'impair', 'synapt', 'plastic', 'rat', 'dentat', 'gyru', 'vivo']",481490,2008,Quercetin relieves chronic lead exposure-induced impairment of synaptic plasticity in rat dentate gyrus in vivo,quercetin reliev chronic lead exposure-induc impair synapt plastic rat dentat gyru vivo,9
2137,induc oxid stress hypertens rat ,-10.954476,5.0168715,2.578715,Experimental studies of Achyranthes aspera (L) preventing nephrotoxicity induced by lead in albino rats,"['experiment', 'studi', 'achyranth', 'aspera', 'L', 'prevent', 'nephrotox', 'induc', 'lead', 'albino', 'rat']",483869,2009,Experimental studies of Achyranthes aspera (L) preventing nephrotoxicity induced by lead in albino rats,experiment studi achyranth aspera L prevent nephrotox induc lead albino rat,9
2144,induc oxid stress hypertens rat ,-8.608392,7.1130047,12.059499,Therapeutic influence of zinc and ascorbic acid against lead induced biochemical alterations,"['therapeut', 'influenc', 'zinc', 'ascorb', 'acid', 'lead', 'induc', 'biochem', 'alter']",634267,2009,Therapeutic influence of zinc and ascorbic acid against lead induced biochemical alterations,therapeut influenc zinc ascorb acid lead induc biochem alter,9
2145,induc oxid stress hypertens rat ,-12.195916,7.0662694,4.9923196,"Causal link between oxidative stress, inflammation, and hypertension","['causal', 'link', 'oxid', 'stress', 'inflamm', 'hypertens']",634270,2008,"Causal link between oxidative stress, inflammation, and hypertension",causal link oxid stress inflamm hypertens,9
2176,induc oxid stress hypertens rat ,-2.6346815,2.3298552,6.0815725,Cellular mechanisms of lead neurotoxicity,"['cellular', 'mechan', 'lead', 'neurotox']",473386,2006,Cellular mechanisms of lead neurotoxicity,cellular mechan lead neurotox,9
2189,induc oxid stress hypertens rat ,-8.869719,0.53283834,10.4494095,Perinatal lead exposure affects nitric oxide and cyclooxygenase pathways in aorta of weaned rats,"['perinat', 'lead', 'exposur', 'affect', 'nitric', 'oxid', 'cyclooxygenas', 'pathway', 'aorta', 'wean', 'rat']",476234,2008,Perinatal lead exposure affects nitric oxide and cyclooxygenase pathways in aorta of weaned rats,perinat lead exposur affect nitric oxid cyclooxygenas pathway aorta wean rat,9
2190,induc oxid stress hypertens rat ,-8.08162,8.1692095,7.154938,XRCC1 protects against particulate chromate-induced chromosome damage and cytotoxicity in Chinese hamster ovary cells,"['xrcc1', 'protect', 'particul', 'chromate-induc', 'chromosom', 'damag', 'cytotox', 'chines', 'hamster', 'ovari', 'cell']",476236,2006,XRCC1 protects against particulate chromate-induced chromosome damage and cytotoxicity in Chinese hamster ovary cells,xrcc1 protect particul chromate-induc chromosom damag cytotox chines hamster ovari cell,9
2204,induc oxid stress hypertens rat ,-12.673643,-10.056595,-4.853377,Effect of smoking on blood lead levels in workers and role of reactive oxygen species in lead-induced sperm chromatin DNA damage,"['effect', 'smoke', 'blood', 'lead', 'level', 'worker', 'role', 'reactiv', 'oxygen', 'speci', 'lead-induc', 'sperm', 'chromatin', 'dna', 'damag']",481424,2009,Effect of smoking on blood lead levels in workers and role of reactive oxygen species in lead-induced sperm chromatin DNA damage,effect smoke blood lead level worker role reactiv oxygen speci lead-induc sperm chromatin dna damag,9
2232,induc oxid stress hypertens rat ,-2.5842657,2.7141135,-9.955483,Metal-related oxidative stress in birds,"['metal-rel', 'oxid', 'stress', 'bird']",636531,2010,Metal-related oxidative stress in birds,metal-rel oxid stress bird,9
2240,induc oxid stress hypertens rat ,-2.1660573,6.1857753,-12.231179,Oxidative stress biomarkers in the digestive gland of Theba pisana exposed to heavy metals,"['oxid', 'stress', 'biomark', 'digest', 'gland', 'theba', 'pisana', 'expos', 'heavi', 'metal']",637220,2010,Oxidative stress biomarkers in the digestive gland of Theba pisana exposed to heavy metals,oxid stress biomark digest gland theba pisana expos heavi metal,9
2253,induc oxid stress hypertens rat ,-12.173658,9.57836,5.446575,Oxidative stress induced by urban fine particles in cultured EA.hy926 cells,"['oxid', 'stress', 'induc', 'urban', 'fine', 'particl', 'cultur', 'ea.hy926', 'cell']",644099,2011,Oxidative stress induced by urban fine particles in cultured EA.hy926 cells,oxid stress induc urban fine particl cultur ea.hy926 cell,9
2263,induc oxid stress hypertens rat ,0.27660194,10.516717,9.076016,Involvement of the epidermal growth factor receptor in Pb(2+)-induced activation of cPLA(2)/COX-2 genes and PGE(2) production in vascular smooth muscle cells,"['involv', 'epiderm', 'growth', 'factor', 'receptor', 'Pb', '-induc', 'activ', 'cpla', '/cox-2', 'gene', 'pge', 'product', 'vascular', 'smooth', 'muscl', 'cell']",644811,2011,Involvement of the epidermal growth factor receptor in Pb(2+)-induced activation of cPLA(2)/COX-2 genes and PGE(2) production in vascular smooth muscle cells,involv epiderm growth factor receptor Pb -induc activ cpla /cox-2 gene pge product vascular smooth muscl cell,9
2264,induc oxid stress hypertens rat ,-12.061128,7.006782,5.0986123,Acute lead-induced vasoconstriction in the vascular beds of isolated perfused rat tails is endothelium-dependent,"['acut', 'lead-induc', 'vasoconstrict', 'vascular', 'bed', 'isol', 'perfus', 'rat', 'tail', 'endothelium-depend']",644827,2010,Acute lead-induced vasoconstriction in the vascular beds of isolated perfused rat tails is endothelium-dependent,acut lead-induc vasoconstrict vascular bed isol perfus rat tail endothelium-depend,9
2265,induc oxid stress hypertens rat ,-8.71625,7.129227,12.007064,Lead-induced tissue fatty acid alterations and lipid peroxidation,"['lead-induc', 'tissu', 'fatti', 'acid', 'alter', 'lipid', 'peroxid']",645718,1991,Lead-induced tissue fatty acid alterations and lipid peroxidation,lead-induc tissu fatti acid alter lipid peroxid,9
2297,induc oxid stress hypertens rat ,-11.982366,6.9809604,5.18325,Trialkyllead compounds induce the opening of the MTP pore in rat liver mitochondria,"['trialkyllead', 'compound', 'induc', 'open', 'mtp', 'pore', 'rat', 'liver', 'mitochondria']",656453,2007,Trialkyllead compounds induce the opening of the MTP pore in rat liver mitochondria,trialkyllead compound induc open mtp pore rat liver mitochondria,9
2299,induc oxid stress hypertens rat ,-12.540686,7.7106214,4.970424,Rise of hepatic glutathione concentration induced in rats by chronic lead nitrate treatment: Its role in aflatoxin B1 intoxication,"['rise', 'hepat', 'glutathion', 'concentr', 'induc', 'rat', 'chronic', 'lead', 'nitrat', 'treatment', 'it', 'role', 'aflatoxin', 'B1', 'intox']",656719,1982,Rise of hepatic glutathione concentration induced in rats by chronic lead nitrate treatment: Its role in aflatoxin B1 intoxication,rise hepat glutathion concentr induc rat chronic lead nitrat treatment it role aflatoxin B1 intox,9
2303,induc oxid stress hypertens rat ,-11.384823,9.320822,1.7523965,Advances in metal-induced oxidative stress and human disease,"['advanc', 'metal-induc', 'oxid', 'stress', 'human', 'diseas']",787077,2011,Advances in metal-induced oxidative stress and human disease,advanc metal-induc oxid stress human diseas,9
2304,induc oxid stress hypertens rat ,-8.70567,0.051382463,10.764676,Prenatal lead acetate exposure induces apoptosis and changes GFAP expression during spinal cord development,"['prenat', 'lead', 'acet', 'exposur', 'induc', 'apoptosi', 'chang', 'gfap', 'express', 'spinal', 'cord', 'develop']",787642,2012,Prenatal lead acetate exposure induces apoptosis and changes GFAP expression during spinal cord development,prenat lead acet exposur induc apoptosi chang gfap express spinal cord develop,9
2305,induc oxid stress hypertens rat ,-9.4482155,5.914353,6.342661,"Lead acetate and arsenic trioxide induce instability of microsatellites at three different fragile sites (6q21, 9q32-9q33 and 15p14) within the genome of the rat","['lead', 'acet', 'arsen', 'trioxid', 'induc', 'instabl', 'microsatellit', 'three', 'differ', 'fragil', 'site', '6q21', '9q32-9q33', '15p14', 'within', 'genom', 'rat']",787866,2011,"Lead acetate and arsenic trioxide induce instability of microsatellites at three different fragile sites (6q21, 9q32-9q33 and 15p14) within the genome of the rat",lead acet arsen trioxid induc instabl microsatellit three differ fragil site 6q21 9q32-9q33 15p14 within genom rat,9
2306,induc oxid stress hypertens rat ,-15.56689,7.3458867,1.1862514,Protective effect of green tea on lead-induced oxidative damage in rat's blood and brain tissue homogenates,"['protect', 'effect', 'green', 'tea', 'lead-induc', 'oxid', 'damag', 'rat', ""'s"", 'blood', 'brain', 'tissu', 'homogen']",792485,2010,Protective effect of green tea on lead-induced oxidative damage in rat's blood and brain tissue homogenates,protect effect green tea lead-induc oxid damag rat 's blood brain tissu homogen,9
2317,induc oxid stress hypertens rat ,-8.212559,5.6189637,6.6829844,Is serum gamma glutamyltransferase a marker of oxidative stress?,"['Is', 'serum', 'gamma', 'glutamyltransferas', 'marker', 'oxid', 'stress']",657192,2004,Is serum gamma glutamyltransferase a marker of oxidative stress?,Is serum gamma glutamyltransferas marker oxid stress,9
2320,induc oxid stress hypertens rat ,-4.8792224,4.326177,6.7712607,Is lead toxicosis a reflection of altered energy metabolism in brain synaptosomes?,"['Is', 'lead', 'toxicosi', 'reflect', 'alter', 'energi', 'metabol', 'brain', 'synaptosom']",657233,1996,Is lead toxicosis a reflection of altered energy metabolism in brain synaptosomes?,Is lead toxicosi reflect alter energi metabol brain synaptosom,9
2335,induc oxid stress hypertens rat ,-12.781625,-9.74917,-5.0067163,Effect of ascorbic acid supplementation on nitric oxide metabolites and systolic blood pressure in rats exposed to lead,"['effect', 'ascorb', 'acid', 'supplement', 'nitric', 'oxid', 'metabolit', 'systol', 'blood', 'pressur', 'rat', 'expos', 'lead']",786402,2010,Effect of ascorbic acid supplementation on nitric oxide metabolites and systolic blood pressure in rats exposed to lead,effect ascorb acid supplement nitric oxid metabolit systol blood pressur rat expos lead,9
2352,induc oxid stress hypertens rat ,-7.277605,7.2498064,0.69975924,Induction of oxidative stress by low doses of lead in human hepatic cell line WRL-68,"['induct', 'oxid', 'stress', 'low', 'dose', 'lead', 'human', 'hepat', 'cell', 'line', 'wrl-68']",786606,2011,Induction of oxidative stress by low doses of lead in human hepatic cell line WRL-68,induct oxid stress low dose lead human hepat cell line wrl-68,9
2360,induc oxid stress hypertens rat ,-6.6871815,5.2628684,6.828296,Amelioration of lead-induced hepatotoxicity by Allium sativum extracts in Swiss albino mice,"['amelior', 'lead-induc', 'hepatotox', 'allium', 'sativum', 'extract', 'swiss', 'albino', 'mice']",786619,2010,Amelioration of lead-induced hepatotoxicity by Allium sativum extracts in Swiss albino mice,amelior lead-induc hepatotox allium sativum extract swiss albino mice,9
2374,induc oxid stress hypertens rat ,-15.139545,5.6887646,-0.31191775,Simultaneous effects of lead and cadmium on primary cultures of rat proximal tubular cells: interaction of apoptosis and oxidative stress,"['simultan', 'effect', 'lead', 'cadmium', 'primari', 'cultur', 'rat', 'proxim', 'tubular', 'cell', 'interact', 'apoptosi', 'oxid', 'stress']",787094,2011,Simultaneous effects of lead and cadmium on primary cultures of rat proximal tubular cells: interaction of apoptosis and oxidative stress,simultan effect lead cadmium primari cultur rat proxim tubular cell interact apoptosi oxid stress,9
2375,induc oxid stress hypertens rat ,-16.01233,9.3969,2.2301984,Protective role of Centella asiatica on lead-induced oxidative stress and suppressed reproductive health in male rats,"['protect', 'role', 'centella', 'asiatica', 'lead-induc', 'oxid', 'stress', 'suppress', 'reproduct', 'health', 'male', 'rat']",787096,2011,Protective role of Centella asiatica on lead-induced oxidative stress and suppressed reproductive health in male rats,protect role centella asiatica lead-induc oxid stress suppress reproduct health male rat,9
2382,induc oxid stress hypertens rat ,6.802463,3.8819432,10.173892,Experimental and theoretical investigation of particle-laden airflow under a prosthetic mechanical foot in motion,"['experiment', 'theoret', 'investig', 'particle-laden', 'airflow', 'prosthet', 'mechan', 'foot', 'motion']",787194,2010,Experimental and theoretical investigation of particle-laden airflow under a prosthetic mechanical foot in motion,experiment theoret investig particle-laden airflow prosthet mechan foot motion,9
2387,induc oxid stress hypertens rat ,-8.744561,5.593696,7.378922,Divalent lead cations induce cyclooxygenase-2 gene expression by epidermal growth factor receptor/nuclear factor-kappa B signaling in A431carcinoma cells,"['dival', 'lead', 'cation', 'induc', 'cyclooxygenase-2', 'gene', 'express', 'epiderm', 'growth', 'factor', 'receptor/nuclear', 'factor-kappa', 'B', 'signal', 'a431carcinoma', 'cell']",787213,2011,Divalent lead cations induce cyclooxygenase-2 gene expression by epidermal growth factor receptor/nuclear factor-kappa B signaling in A431carcinoma cells,dival lead cation induc cyclooxygenase-2 gene express epiderm growth factor receptor/nuclear factor-kappa B signal a431carcinoma cell,9
2389,induc oxid stress hypertens rat ,-14.309018,5.845312,-0.6472685,The protective effect of Rubia cordifolia against lead nitrate-induced immune response impairment and kidney oxidative damage,"['the', 'protect', 'effect', 'rubia', 'cordifolia', 'lead', 'nitrate-induc', 'immun', 'respons', 'impair', 'kidney', 'oxid', 'damag']",787216,2011,The protective effect of Rubia cordifolia against lead nitrate-induced immune response impairment and kidney oxidative damage,the protect effect rubia cordifolia lead nitrate-induc immun respons impair kidney oxid damag,9
2402,induc oxid stress hypertens rat ,-14.068298,4.212335,-1.1543005,Biochemical and molecular effects of gestational and lactational coexposure to lead and cadmium on ovarian steroidogenesis are associated with oxidative stress in F1 generation rats,"['biochem', 'molecular', 'effect', 'gestat', 'lactat', 'coexposur', 'lead', 'cadmium', 'ovarian', 'steroidogenesi', 'associ', 'oxid', 'stress', 'F1', 'gener', 'rat']",787624,2010,Biochemical and molecular effects of gestational and lactational coexposure to lead and cadmium on ovarian steroidogenesis are associated with oxidative stress in F1 generation rats,biochem molecular effect gestat lactat coexposur lead cadmium ovarian steroidogenesi associ oxid stress F1 gener rat,9
2415,induc oxid stress hypertens rat ,-3.069199,19.335197,-1.2806996,Cadmium toxicity revisited: Focus on oxidative stress induction and interactions with zinc and magnesium,"['cadmium', 'toxic', 'revisit', 'focu', 'oxid', 'stress', 'induct', 'interact', 'zinc', 'magnesium']",787840,2011,Cadmium toxicity revisited: Focus on oxidative stress induction and interactions with zinc and magnesium,cadmium toxic revisit focu oxid stress induct interact zinc magnesium,9
2416,induc oxid stress hypertens rat ,-6.747729,5.3182864,6.886182,Oxidative basis of manganese neurotoxicity,"['oxid', 'basi', 'manganes', 'neurotox']",787848,2004,Oxidative basis of manganese neurotoxicity,oxid basi manganes neurotox,9
2487,induc oxid stress hypertens rat ,-9.988267,3.5873015,3.0102415,"Table 5-7, studies reporting lead-induced shifts in Th1 versus Th2 cytokines","['tabl', 'studi', 'report', 'lead-induc', 'shift', 'th1', 'versu', 'th2', 'cytokin']",831106,2006,"Table 5-7, studies reporting lead-induced shifts in Th1 versus Th2 cytokines",tabl studi report lead-induc shift th1 versu th2 cytokin,9
2488,induc oxid stress hypertens rat ,-8.939893,5.642748,6.797835,"Table AX5.9.6., pattern of lead-induced macrophage immunotoxicity","['tabl', 'ax5.9.6.', 'pattern', 'lead-induc', 'macrophag', 'immunotox']",831110,2006,"Table AX5.9.6., pattern of lead-induced macrophage immunotoxicity",tabl ax5.9.6. pattern lead-induc macrophag immunotox,9
2522,induc oxid stress hypertens rat ,-7.833509,-10.1561165,-11.759792,Lead-induced oxidative stress adversely affects health of the occupational workers,"['lead-induc', 'oxid', 'stress', 'advers', 'affect', 'health', 'occup', 'worker']",487283,2008,Lead-induced oxidative stress adversely affects health of the occupational workers,lead-induc oxid stress advers affect health occup worker,9
2540,induc oxid stress hypertens rat ,-8.425491,5.5779114,6.8000655,Lead-induced cytotoxicity and mutagenicity in grass pea,"['lead-induc', 'cytotox', 'mutagen', 'grass', 'pea']",490596,2008,Lead-induced cytotoxicity and mutagenicity in grass pea,lead-induc cytotox mutagen grass pea,9
2570,induc oxid stress hypertens rat ,-7.9112887,0.3420918,4.938058,High levels of cadmium and lead in seminal fluid and blood of smoking men are associated with high oxidative stress and damage in infertile subjects,"['high', 'level', 'cadmium', 'lead', 'semin', 'fluid', 'blood', 'smoke', 'men', 'associ', 'high', 'oxid', 'stress', 'damag', 'infertil', 'subject']",488264,2007,High levels of cadmium and lead in seminal fluid and blood of smoking men are associated with high oxidative stress and damage in infertile subjects,high level cadmium lead semin fluid blood smoke men associ high oxid stress damag infertil subject,9
2575,induc oxid stress hypertens rat ,-4.3115454,4.4483695,6.6585994,"Lead-induced hsp70 and hsp60 pattern transformation and leg malformation during postembryonic development in the oribatid mite, Archegozetes longisetosus Aoki","['lead-induc', 'hsp70', 'hsp60', 'pattern', 'transform', 'leg', 'malform', 'postembryon', 'develop', 'oribatid', 'mite', 'archegozet', 'longisetosu', 'aoki']",488892,2005,"Lead-induced hsp70 and hsp60 pattern transformation and leg malformation during postembryonic development in the oribatid mite, Archegozetes longisetosus Aoki",lead-induc hsp70 hsp60 pattern transform leg malform postembryon develop oribatid mite archegozet longisetosu aoki,9
2613,induc oxid stress hypertens rat ,-16.418943,8.217402,2.1962135,Lead-induced alterations in rat kidneys and testes in vivo,"['lead-induc', 'alter', 'rat', 'kidney', 'test', 'vivo']",499063,2007,Lead-induced alterations in rat kidneys and testes in vivo,lead-induc alter rat kidney test vivo,9
2614,induc oxid stress hypertens rat ,-10.039601,5.049058,5.236072,Oxidative damage in liver after perinatal intoxication with lead and/or cadmium,"['oxid', 'damag', 'liver', 'perinat', 'intox', 'lead', 'and/or', 'cadmium']",499088,2007,Oxidative damage in liver after perinatal intoxication with lead and/or cadmium,oxid damag liver perinat intox lead and/or cadmium,9
2615,induc oxid stress hypertens rat ,-14.677739,8.582713,2.738227,Natural antioxidants protect against lead-induced damage during pregnancy and lactation in rat's pups,"['natur', 'antioxid', 'protect', 'lead-induc', 'damag', 'pregnanc', 'lactat', 'rat', ""'s"", 'pup']",499089,2009,Natural antioxidants protect against lead-induced damage during pregnancy and lactation in rat's pups,natur antioxid protect lead-induc damag pregnanc lactat rat 's pup,9
2697,induc oxid stress hypertens rat ,-14.1823635,3.9036455,-1.6151209,Modifying effect of iron on lead-induced clastogenicity in mouse bone marrow cells,"['modifi', 'effect', 'iron', 'lead-induc', 'clastogen', 'mous', 'bone', 'marrow', 'cell']",49782,1992,Modifying effect of iron on lead-induced clastogenicity in mouse bone marrow cells,modifi effect iron lead-induc clastogen mous bone marrow cell,9
2699,induc oxid stress hypertens rat ,-10.402221,6.3777933,6.1983433,Liver cell proliferation induced by nafenopin and cyproterone acetate is not associated with increases in activation of transcription factors NF-kappaB and AP-1 or with expression of tumor necrosis factor alpha,"['liver', 'cell', 'prolifer', 'induc', 'nafenopin', 'cyproteron', 'acet', 'associ', 'increas', 'activ', 'transcript', 'factor', 'nf-kappab', 'ap-1', 'express', 'tumor', 'necrosi', 'factor', 'alpha']",49899,1997,Liver cell proliferation induced by nafenopin and cyproterone acetate is not associated with increases in activation of transcription factors NF-kappaB and AP-1 or with expression of tumor necrosis factor alpha,liver cell prolifer induc nafenopin cyproteron acet associ increas activ transcript factor nf-kappab ap-1 express tumor necrosi factor alpha,9
2704,induc oxid stress hypertens rat ,-6.2333264,-1.3155514,10.848381,Postnatal lead exposure induces supersensitivity to the stimulus properties of D2D3 agonist,"['postnat', 'lead', 'exposur', 'induc', 'supersensit', 'stimulu', 'properti', 'd2d3', 'agonist']",50038,1992,Postnatal lead exposure induces supersensitivity to the stimulus properties of D2D3 agonist,postnat lead exposur induc supersensit stimulu properti d2d3 agonist,9
2739,induc oxid stress hypertens rat ,-8.208119,5.6291695,6.686396,Neurotoxicant-induced changes in schedule-controlled behavior,"['neurotoxicant-induc', 'chang', 'schedule-control', 'behavior']",50683,1994,Neurotoxicant-induced changes in schedule-controlled behavior,neurotoxicant-induc chang schedule-control behavior,9
2791,induc oxid stress hypertens rat ,-10.670452,6.4407787,6.158112,Experimental investigations on the contraction induced by lead in arterial smooth muscle,"['experiment', 'investig', 'contract', 'induc', 'lead', 'arteri', 'smooth', 'muscl']",53465,1977,Experimental investigations on the contraction induced by lead in arterial smooth muscle,experiment investig contract induc lead arteri smooth muscl,9
2818,induc oxid stress hypertens rat ,-9.955161,5.4108124,2.027091,The proteins of lead-induced intranuclear inclusion bodies,"['the', 'protein', 'lead-induc', 'intranuclear', 'inclus', 'bodi']",54637,1982,The proteins of lead-induced intranuclear inclusion bodies,the protein lead-induc intranuclear inclus bodi,9
2838,induc oxid stress hypertens rat ,-10.670381,6.440831,6.158008,Experimental investigations on the contraction induced by lead in arterial smooth muscle,"['experiment', 'investig', 'contract', 'induc', 'lead', 'arteri', 'smooth', 'muscl']",56309,1977,Experimental investigations on the contraction induced by lead in arterial smooth muscle,experiment investig contract induc lead arteri smooth muscl,9
2850,induc oxid stress hypertens rat ,-12.4722395,7.2591243,4.680341,"Neoplasia induced in male rats fed lead acetate, ethyl urea, and sodium nitrite","['neoplasia', 'induc', 'male', 'rat', 'fed', 'lead', 'acet', 'ethyl', 'urea', 'sodium', 'nitrit']",56940,1985,"Neoplasia induced in male rats fed lead acetate, ethyl urea, and sodium nitrite",neoplasia induc male rat fed lead acet ethyl urea sodium nitrit,9
2971,induc oxid stress hypertens rat ,-6.8796697,3.7343187,7.5778017,Sensitive periods for lead-induced behavioral impairment (nonspatial discrimination reversal) in monkeys,"['sensit', 'period', 'lead-induc', 'behavior', 'impair', 'nonspati', 'discrimin', 'revers', 'monkey']",48502,1990,Sensitive periods for lead-induced behavioral impairment (nonspatial discrimination reversal) in monkeys,sensit period lead-induc behavior impair nonspati discrimin revers monkey,9
2977,induc oxid stress hypertens rat ,-11.888766,7.3892665,4.4461336,Indirect mechanism of lead-induced genotoxicity in cultured mammalian cells,"['indirect', 'mechan', 'lead-induc', 'genotox', 'cultur', 'mammalian', 'cell']",48621,1990,Indirect mechanism of lead-induced genotoxicity in cultured mammalian cells,indirect mechan lead-induc genotox cultur mammalian cell,9
2978,induc oxid stress hypertens rat ,-6.4549184,3.7194526,7.5378437,Lack of sensitive period for lead-induced behavioral impairment on a spatial delayed alternation task in monkeys,"['lack', 'sensit', 'period', 'lead-induc', 'behavior', 'impair', 'spatial', 'delay', 'altern', 'task', 'monkey']",48635,1990,Lack of sensitive period for lead-induced behavioral impairment on a spatial delayed alternation task in monkeys,lack sensit period lead-induc behavior impair spatial delay altern task monkey,9
2990,induc oxid stress hypertens rat ,-14.909355,8.51418,3.1239872,Lead-induced fetal nephrotoxicity in iron-deficient rats,"['lead-induc', 'fetal', 'nephrotox', 'iron-defici', 'rat']",48854,1991,Lead-induced fetal nephrotoxicity in iron-deficient rats,lead-induc fetal nephrotox iron-defici rat,9
2992,induc oxid stress hypertens rat ,-11.876221,6.9071026,5.29491,Transitory DNA hypomethylation during liver cell proliferation induced by a single dose of lead nitrate,"['transitori', 'dna', 'hypomethyl', 'liver', 'cell', 'prolifer', 'induc', 'singl', 'dose', 'lead', 'nitrat']",48874,1991,Transitory DNA hypomethylation during liver cell proliferation induced by a single dose of lead nitrate,transitori dna hypomethyl liver cell prolifer induc singl dose lead nitrat,9
3021,induc oxid stress hypertens rat ,-6.053013,5.731324,7.1332994,Mitogen-induced liver hyperplasia does not substitute for compensatory regeneration during promotion of chemical hepatocarcinogenesis,"['mitogen-induc', 'liver', 'hyperplasia', 'substitut', 'compensatori', 'regener', 'promot', 'chemic', 'hepatocarcinogenesi']",49417,1992,Mitogen-induced liver hyperplasia does not substitute for compensatory regeneration during promotion of chemical hepatocarcinogenesis,mitogen-induc liver hyperplasia substitut compensatori regener promot chemic hepatocarcinogenesi,9
3104,induc oxid stress hypertens rat ,-7.1981235,5.3263607,6.827629,Lead-induced attenuation in the aggregation of acetylcholine receptors during the neuromuscular junction formation,"['lead-induc', 'attenu', 'aggreg', 'acetylcholin', 'receptor', 'neuromuscular', 'junction', 'format']",709985,2005,Lead-induced attenuation in the aggregation of acetylcholine receptors during the neuromuscular junction formation,lead-induc attenu aggreg acetylcholin receptor neuromuscular junction format,9
3116,induc oxid stress hypertens rat ,-9.162898,6.2234373,7.168804,Hypertension and the kidney,"['hypertens', 'kidney']",1519126,1987,Hypertension and the kidney,hypertens kidney,9
3163,induc oxid stress hypertens rat ,-6.829755,3.4547546,8.14776,Psychopharmacological investigations of a lead-induced long-term cognitive deficit in monkeys,"['psychopharmacolog', 'investig', 'lead-induc', 'long-term', 'cognit', 'deficit', 'monkey']",57156,1987,Psychopharmacological investigations of a lead-induced long-term cognitive deficit in monkeys,psychopharmacolog investig lead-induc long-term cognit deficit monkey,9
3176,induc oxid stress hypertens rat ,-10.004712,3.6342092,3.023779,Studies of lead administration and elimination in adult volunteers under natural and experimentally induced conditions over extended periods of time,"['studi', 'lead', 'administr', 'elimin', 'adult', 'volunt', 'natur', 'experiment', 'induc', 'condit', 'extend', 'period', 'time']",57541,1987,Studies of lead administration and elimination in adult volunteers under natural and experimentally induced conditions over extended periods of time,studi lead administr elimin adult volunt natur experiment induc condit extend period time,9
3186,induc oxid stress hypertens rat ,-15.9545145,7.2279205,4.167877,"Renal oxidative stress, oxygenation, and hypertension","['renal', 'oxid', 'stress', 'oxygen', 'hypertens']",976059,2011,"Renal oxidative stress, oxygenation, and hypertension",renal oxid stress oxygen hypertens,9
96,qualiti air criteria ambient standard ,12.90865,-0.89997834,-6.8154078,Particle-size distribution of metal components in urban air,"['particle-s', 'distribut', 'metal', 'compon', 'urban', 'air']",71171,1968,Particle-size distribution of metal components in urban air,particle-s distribut metal compon urban air,10
109,qualiti air criteria ambient standard ,9.39171,-0.5445364,-3.8259747,"Biotic ligand model, a flexible tool for developing site-specific water quality guidelines for metals","['biotic', 'ligand', 'model', 'flexibl', 'tool', 'develop', 'site-specif', 'water', 'qualiti', 'guidelin', 'metal']",72761,2004,"Biotic ligand model, a flexible tool for developing site-specific water quality guidelines for metals",biotic ligand model flexibl tool develop site-specif water qualiti guidelin metal,10
179,qualiti air criteria ambient standard ,12.197634,-2.020361,-2.490903,"A meta-analysis of time-series studies of ozone and mortality with comparison to the national morbidity, mortality, and air pollution study","['A', 'meta-analysi', 'time-seri', 'studi', 'ozon', 'mortal', 'comparison', 'nation', 'morbid', 'mortal', 'air', 'pollut', 'studi']",74345,2005,"A meta-analysis of time-series studies of ozone and mortality with comparison to the national morbidity, mortality, and air pollution study",A meta-analysi time-seri studi ozon mortal comparison nation morbid mortal air pollut studi,10
